排名,书名,作者,类型,进度,字数,积分,标签,时间,简介
32,当年万里觅封侯,漫漫何其多,原创-纯爱-架空历史-爱情,完结,382080,17156909056,"['情有独钟', '轻松']",2018-08-26,+++【偏执阴鸷神经病攻Ｘ达观臆想症受】++真暗恋，伪破镜重圆，架空扯淡。++郁子宥和钟宛，效忠不同主上。两人惺惺相惜过，明争暗斗过。++夺嫡失败后，带着小主上远走边疆的钟宛为了活下去，仗着自己和郁子宥年少时的那点交情，借着他的一些贴身物品，各种明示暗示，让别人觉得郁子宥和自己有一腿。++郁家权倾朝野，有了这层关系，钟宛的日子果然好过了许多，他编的故事也越来越像那么回事。++艳情一传千里，远在京都的郁子宥终于也听说了自己的这笔可歌可泣的风流债，活活被洗了七年脑的郁子宥恍惚间都信了，自己当年跟钟宛好像是真的有那么一段……++推荐cp千鹤的现代甜文—>《临时保镖》++++专栏，求收养
33,我五行缺你,西子绪,原创-纯爱-近代现代-爱情,完结,776165,17112528896,"['灵异神怪', '平步青云', '重生', '玄学', '正剧']",2017-06-10,震惊！无辜公务员重生骗子身体，竟是被男人做出这种事……风水界里都说林逐水无所不知，无所不晓，现在看来，他唯一算错的了，就是他和周嘉鱼的姻缘。周嘉鱼性温，皮薄肉嫩，骨脆髓香。他万万没想到，自己重生后最担心的事，居然是不要惹某人不高兴以至于解决掉。周嘉鱼：在重生之前我一直觉得自己会是个坚定的社会主义接班人，直到我变成了骗子，还遇到个算命贼准的大佬。林逐水：和我在一起不开心吗？周嘉鱼：开心，我开心死了，大佬要是可以别每天思考关于我的菜单我就更开心了。林逐水：不可以。周嘉鱼：……风水文，眼盲风水界大佬攻X穿骗子社会主义接班人受，巨甜，甜过初恋。6月29入V，当天三更，谢谢大家支持。
34,我只喜欢你的人设[娱乐圈],稚楚,原创-纯爱-近代现代-爱情,完结,616566,17057707008,"['都市', '情有独钟', '天作之合', '娱乐圈', '轻松']",2018-11-10,骨子里又酷又A、风流浪荡的夏习清，靠着一张天使脸骗过了所有人，偏偏在爱豆面前暴露本性，初见即翻车。夏习清：我很喜欢你。周自珩：莫挨老子.jpg然而发布会观众席上三秒即过的美貌，让他以周自珩粉丝身份C位出道，和偶像一起上热搜，上真人秀，上…… 没错，就是你们想的那样。但和夏习清想的不一样啊。原以为钓的是娱乐圈绝世Alpha，扒了人设才知道是个纯情傲娇小学鸡。原以为拿的是我睡爱豆的剧本，最后成了爱豆睡我。刺激【点烟夏习清：不是最讨厌我吗？抱住不撒手是怎么回事？周自珩：真香。天使面孔又A又浪受 VS 总攻硬件纯情天使攻【【排雷】】：1、受是长在雷点上的男人！过去是风流top，无情史无前任【有经验】无反攻，前期性格表里不一，恃才傲物，其实内心自卑【不喜勿入，拜托各位了，进来看了两章骂角色真的很KY】2、受是回避依恋型人格，无法与人建立正常的恋爱关系（所以没前任）3、攻受人设都超级无敌杰克苏，全文尬苏。4、请勿到其他地方ky，圈地自萌。拒绝过度安利和吹捧。5、请勿拉其他文比较（或拿着这篇文拉踩别的文），看书就好。6、无原型，谢绝换头，请勿侵权。
35,解药,巫哲,原创-纯爱-近代现代-爱情,完结,589362,16297115648,['轻松'],2018-03-30,你是解药，病了舔舔。HE。日更，更新时间晚上七点半之后。
36,网恋翻车指南,酱子贝,原创-纯爱-近代现代-爱情,完结,440871,16296997888,"['游戏网游', '轻松']",2019-08-11,景欢自小最亲近的表姐在某款火爆大型网游上“被小三”：付出感情后才知道对方是个有女朋友的混蛋。在被游戏里的人网络暴力数日后，表姐一气之下悲愤出国。景欢咽不下这口气，决定用男人的办法帮表姐报仇——买一个游戏号，在网游杀那个渣男千万遍。以他本游戏开服大神的实力和操作，把人杀退服，那还不是分分钟？！他斗志昂扬地杀上线，经过一番侦查后却发现——这渣男他妈是全服第一输出、高手榜第一、富豪榜第一、人气榜第一、名气榜第一。总结：搞不过。景欢沮丧，正打算放弃，却亲眼目睹舍友网恋奔现见光死，对方假照变声关键还骗钱，把舍友差点刺激到住院。景欢醍醐灌顶，大彻大悟，安慰完室友后，连夜把高价变声器搬回了出租屋。——又名《我掰弯我自己》《老公你看我这喉结够性感吗》《心里mmp嘴上么么哒》网骗梗/直掰弯/键盘网游/变声器警告攻不渣，也没渣受的姐姐。没有甜文Tag排雷：大量网游内容，快乐就好
37,一级律师[星际],木苏里,原创-纯爱-幻想未来-传奇,完结,753025,16112531456,"['强强', '情有独钟', '星际', '未来架空', '正剧']",2017-11-23,冷漠脸专业怼戏精·结果把自己怼弯了·攻 x 一生不羁搞事坑人·结果把自己坑哭了·受法学院的毕业典礼上，年轻的院长燕绥之风度翩翩，语带笑意：“来检验一下四年成果，假设现在我是你的学生，你能教我些什么？”其他学生恭恭敬敬写起了心得小论文唯独顾晏面无表情留了八个字：不收讼棍，建议开除。事后，燕绥之一眼挑出这份答卷，大笔一挥回复：放屁，你还当真了？结果多年后一场爆炸，这假设还真特么成了真。燕绥之：“……”这倒霉世界大概特别恨他。
38,兼职无常后我红了,拉棉花糖的兔子,原创-纯爱-近代现代-轻小说,完结,607972,16053474304,"['灵异神怪', '娱乐圈', '爽文', '玄学', '轻松']",2020-03-04,本文有声书9.8日在网易云上线~·*活人到阴间当差，称之为“走无常”兰菏混迹娱乐圈，却因为没背景，一直徘徊在三十八线。起初知道自己要兼职走无常，吃阴间饭，他是拒绝的，直到发现……怎么在阴间打工还有助阳间走红的？兰菏：是我，阴间最黑的流氓，阳间最红的流量。每晚八点更新，架空，金手指苏爽文封面画师@吔糖狂魔
39,砸锅卖铁去上学,红刺北,原创-言情-幻想未来-爱情,完结,1134754,15975457792,"['机甲', '未来架空', '爽文', '轻松']",2020-09-21,      【2023年6月24号18点第二册实体书出版开售，限时前两分钟有亲笔签名～ 详情关注围脖：天天赤脚】【同名有声剧在喜马拉雅上线啦～感兴趣的宝贝们快去听！】       昔日顶级工程师卫三穿成星际失学儿童，靠着捡垃圾变废为宝，终于赶在开学季攒了一笔钱，立刻要去报名上学。她打算将来成为一个机甲师，据说特别赚钱，还和自己本行息息相关，计划通√万万没想到因为贪学费便宜，卫三报错了专业，成了一名机甲单兵——那种成天刀口舔血的暴力狂卫·文静·贫穷·工程师：“……”但环境不能使她屈服，卫三决定以后趁空闲时间自学成才。某大赛训练期，有媒体依次采访拍摄各校单兵，全星网直播，观众可以看见所有人都在拼命训练，重力加压、贴身肉搏、远战纠缠等等。【YY近战太强了吧，那把光刀一出，谁敢近身！】【ww那手鞭子甩得绝了，牛逼！！！】随后录到卫三，她盘腿坐在训练大厅，正低头聚精会神捧着一本书看。【那个卫三在看什么？】镜头拉近，卫三手中书的封面顿时被全星网看得一清二楚：《青飞教您二十一天成为机甲师》观众：……这书名一听就不是正经人看的。第二天星网头条：某军校生训练期间不堪重负，精神失常，试图转行。我的预收文：《全面进化》，男主鱼青飞，欢迎收藏呀～文案：方回所在星球最终还是爆炸了。但她活了下来。再睁开眼时，有人正在外面撬她的冷冻舱。“欸。”陌生的黑发青年手拿着撬棍，另一只手抱着舱板，探脸对上方回的目光，心虚道，“对不起，我不知道这是你家，要不要现在……帮你恢复原样？”方回：“……”
40,迪奥先生,绿野千鹤,原创-纯爱-近代现代-爱情,完结,314212,15812922368,"['豪门世家', '欢喜冤家', '七年之痒', '甜文', '爆笑']",2018-01-16,两位总裁结婚七年，怕老婆的攻撞坏脑子，突然变成真·霸道总裁的蛇精病故事微博上发过的一个短篇文梗，爆笑相声，博君一笑封面设计：米尐可++画手：太白菌推荐CP的新坑，现代电竞甜文《awm》手机地址：
41,穿进赛博游戏后干掉BOSS成功上位,桉柏,原创-言情-幻想未来-游戏,完结,1465379,15809475584,"['穿越时空', '系统', '正剧', '赛博朋克', '克苏鲁']",2021-07-26,【简体出版进度wb@桉柏ANBAI通知。24年12月21日简体出版即将上线。】【捉虫修文期，更新请无视。专栏有免费番外。22.10.05】赛博朋克+克系元素的全息游戏《深红之土》即将发售。隗辛走了狗屎运，被选中成为了《深红之土》的内测玩家。然而事情朝着诡异的方向一路狂奔，她发现她不是在玩什么全息游戏，而是穿越到了一个真实存在的平行世界。钢与铁的森林里人们挣扎求生，霓虹灯的色彩下当权者举杯共饮。财团把持着经济命脉，超级人工智能监视着每个人的一举一动。超凡者、机械改造人、秘密教团、畸变人登上时代的舞台……隗辛刚一登录游戏就觉得自己貌似要出大事。求问：当你发现你在游戏里的身份是联邦一级通缉犯，并且还在官方缉查部门里当卧底该怎么办？答：最危险的地方就是最安全的地方，演一出我追查我自己，然后找机会死遁。……姓名：隗辛身份：某反叛组织派往联邦缉查部门的卧底。任务：苟住小命，努力升级。看过任务后，隗辛觉得不行。二五仔是个没有前途的职业，光是保住小命努力升级一点都不过瘾，她想要整一票大的。比如干掉BOSS换她上位什么的，感觉就很过瘾。……【食用指南】1.二刷读者不要剧透。感情线少，为了剧情体验不会透露cp是谁，非买股，正剧剧情向，人物结局随故事发展而定。本文言情，从21.07开文起标签就是言情，非无cp，禁止磕腐。慢热，前期偏向探索解密和成长。2.世界上有超能力。我流赛博朋克，克系元素占比较小。不懂这两个元素也能看懂，但是建议搜索了解一下这两个元素，会提升不少代入感和看文体验。本文非正统克系，非正统科幻，仅借用部分设定填充基础框架与世界观。3.本文故事时间线双线并进，只讲述女主在七周内遭遇的事情，开放式结局。非典型第四天灾，玩家们群穿，会在两个世界来回穿梭。4.平行世界架空，勿代入现实。三观党勿入，对主角有道德要求的勿入。角色观点不代表作者观点。5.别在我的评论区提别人的文，别在别人的评论区提我的文，互相尊重，多谢。友好交流，和平讨论，禁止人身攻击，希望大家在和谐的氛围中看文。……【科普什么是赛博朋克（来自百度百科）】赛博朋克（英文：Cyberpunk）是“控制论、神经机械学”与“朋克”的结合词，中文又称作“赛伯朋克”。赛博朋克类作品背景大都建立于“低端生活与高等科技结合”的基础上，通常拥有先进的科学技术，再以一定程度崩坏的社会结构做对比；拥有五花八门的视觉冲击效果，比如街头的霓虹灯、街排标志性广告以及高楼建筑等，通常搭配色彩是以黑、紫、绿、蓝、红为主。故事框架是以社会秩序受到政|府或财团或秘密组织的高度控制，而主角利用其中的漏洞做出了某种突破。赛博朋克的情节通常围绕黑客、人工智能及大型企业之间的矛盾而展开，背景设在不远的将来的一个反乌托邦地球，而不是早期赛博朋克的外太空。它实际上标志着针对以往科幻小说不注重信息技术的具体设定的缺点的改善和进步。【科普什么是克苏鲁神话（来自百度百科）】克苏鲁神话(Cthulhu Mythos)是以美国作家霍华德·菲利普·洛夫克拉夫特的小说世界为基础，由诸多作者所共同创造的架空文学体系。洛夫克拉夫特作品的共同主题是人类在宇宙中的渺小和以灾难性结局告终的知识探索。人类经常受限于强大的存在或其他宇宙力量。但这些存在与其说是恶意的，不如说是对人类漠不关心。洛夫克拉夫特将这种观点称为“宇宙主|义(Cosmicism)” 最终人类在一个冷漠的宇宙中是孤独的且没有自保能力。在这样一个浩瀚无边、而又毫无理性与目的可言的宇宙中，人类所认识和规定的法则与观念都是毫无意义的。人类是渺小的，而神是不可战胜的，人无法认识到明晰的宇宙，且客观规律不以人的意志为转移。
